Designator,Footprint,Quantity,Value,LCSC Part #
3V1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,Batt,
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",0805,14,C,
"C15, C16",1206,2,10u,
C17,1206,1,0.1u,
"C18, C21",CP_Radial_D10.0mm_P5.00mm,2,1000,
"C19, C20, C22, C23, C24, C25, C26, C28",0805,8,0.1u,
C27,C_Rect_L16.5mm_W4.7mm_P15.00mm_MKT,1,10nF 400v,
D1,LED_D3.0mm,1,LED,
"F1, F2, F3",FUSRR508W60L835T400H810,3,Fuse,
FL1,UU9_choke,1,Choke_Schaffner_RN102-0.3-02-12M,
"J1, J2, J3, J4, J5, J6, J7",TE_282834-4,7,282834-4,
J10,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07,
J8,TE_1776266-5,1,1776266-5,
J9,CUI_MSD-11-A,1,MSD-11-A,
PS1,Converter_ACDC_HiLink_HLK-PMxx,1,HLK-PM01,
"R1, R10, R11, R12, R13, R14, R2, R3, R4, R5, R6, R7, R8, R9",0805,14,24,
R15,0805,1,1k,
"R16, R17",0805,2,4k7,
"R18, R19, R20",0805,3,820,
"R24, R25, R26",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,180k,
R27,0805,1,220,
"R31, R32, R33",0805,3,10k,
S1,SW_JS202011SCQN,1,JS202011SCQN,
"T1, T2, T3",ZMPT107-1,3,XMPT107-1,
U1,SOT-23,1,LM4040D25FTA,
U16,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
"U17, U18",SOP-16_3.9x9.9mm_P1.27mm,2,MCP3208,
U19,ESP-12E,1,ESP-12F,
"U2, U3, U4, U5",D5V0P4UR6SO-7,4,D5V0P4UR6SO-7,
U20,SOT-223-3_TabPin2,1,AMS1117-3.3,
U21,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8523T,
Y2,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,Crystal_32.768kHz,
